SurveyYr,Age,AgeMonths
2009_10,10,201
2009_10,23,465
2011_12,17,156
2009_10,36,482
2011_12,34,341
2009_10,27,314
2011_12,2,11
2011_12,69,423
2011_12,43,404
2011_12,3,-5
2009_10,18,275
2009_10,62,790
2011_12,76,681
2011_12,63,691
2011_12,6,39
2009_10,60,667
2009_10,65,645
2009_10,15,303
2011_12,74,706
2011_12,27,270
2009_10,77,880
2009_10,68,763
2011_12,79,771
2011_12,27,249
2009_10,15,213
2009_10,63,736
2009_10,73,827
2009_10,34,525
2009_10,19,272
2011_12,39,167
2009_10,65,807
2011_12,82,826
2009_10,8,80
2009_10,57,613
2011_12,43,333
2011_12,23,104
2011_12,60,714
2009_10,7,86
2011_12,65,458
2011_12,37,278
2011_12,71,816
2009_10,43,557
2009_10,50,803
2009_10,5,131
2011_12,14,183
2011_12,29,351
2011_12,12,161
2011_12,2,6
2009_10,15,270
2011_12,27,209
2011_12,56,651
2011_12,18,261
2011_12,24,224
2011_12,11,179
2009_10,43,664
2011_12,32,163
2011_12,27,295
2011_12,43,386
2011_12,73,787
2009_10,81,970
2011_12,14,167
2011_12,45,537
2011_12,60,630
2011_12,37,430
2011_12,20,161
2009_10,16,116
2009_10,4,93
2011_12,1,-46
2011_12,45,478
2011_12,48,169
2011_12,58,623
2009_10,13,174
2009_10,48,644
2009_10,31,513
2011_12,39,490
2009_10,52,500
2011_12,20,148
2009_10,32,535
2011_12,58,415
2011_12,3,-40
2009_10,54,582
2009_10,32,404
2009_10,9,96
2009_10,69,842
2011_12,8,11
2009_10,18,318
2009_10,0,54
2009_10,25,263
2009_10,69,709
2009_10,10,345
2011_12,73,692
2009_10,27,510
2009_10,53,698
2009_10,28,367
2009_10,52,576
2011_12,31,347
2011_12,5,13
2009_10,79,844
2011_12,-1,-29
2009_10,10,91
2011_12,20,188
2009_10,56,635
2009_10,58,632
2009_10,59,464
2009_10,1,-8
2009_10,18,305
2009_10,32,433
2011_12,8,73
2011_12,21,176
2011_12,17,277
2011_12,81,864
2011_12,62,764
2011_12,28,300
2011_12,28,253
2011_12,62,632
2011_12,50,615
2009_10,47,670
2011_12,25,285
2009_10,71,881
2009_10,17,258
2009_10,59,779
2011_12,24,419
2009_10,8,144
2009_10,21,227
2011_12,21,56
2011_12,11,37
2011_12,22,191
2009_10,57,737
2009_10,46,543
2009_10,74,850
2011_12,35,434
2009_10,44,637
2011_12,67,649
2011_12,73,653
2011_12,61,593
2011_12,30,254
2009_10,64,710
2009_10,25,349
2011_12,43,375
2009_10,10,369
2011_12,48,586
2011_12,59,551
2011_12,46,398
2011_12,30,439
2009_10,4,35
2011_12,59,520
2009_10,83,936
2009_10,51,546
2011_12,44,514
2009_10,45,671
2011_12,35,242
2011_12,10,-19
2009_10,66,785
2011_12,0,-14
2011_12,67,746
2009_10,20,276
2009_10,16,469
2011_12,80,866
2011_12,48,461
2009_10,75,927
2009_10,21,181
2011_12,31,509
2009_10,20,434
2009_10,15,303
2011_12,81,872
2009_10,65,782
2009_10,22,311
2009_10,19,260
2011_12,60,554
2009_10,38,493
2009_10,64,719
2009_10,21,401
2009_10,84,992
2009_10,86,1013
2009_10,-1,28
2011_12,17,241
2011_12,34,383
2011_12,77,803
2011_12,25,254
2011_12,33,267
2009_10,38,457
2011_12,23,225
2009_10,82,945
2009_10,63,744
2011_12,60,432
2011_12,27,191
2011_12,65,331
2009_10,1,61
2009_10,40,344
2009_10,33,370
2011_12,15,33
2011_12,22,101
2009_10,-2,10
2009_10,18,324
2009_10,77,882
2011_12,21,179
2009_10,33,440
2011_12,80,872
2009_10,14,363
2011_12,4,-4
2009_10,50,695
2009_10,61,725
2011_12,66,785
2009_10,58,684
2009_10,57,653
2011_12,63,825
2011_12,20,266
2009_10,56,688
2009_10,4,35
2009_10,36,268
2011_12,68,709
2009_10,42,469
2009_10,1,40
2011_12,22,343
2009_10,71,948
2011_12,7,55
2011_12,41,410
2011_12,10,93
2011_12,34,269
2009_10,1,88
2011_12,9,78
2011_12,50,527
2009_10,23,323
2011_12,62,432
2009_10,54,853
2009_10,80,781
2011_12,76,838
2009_10,70,719
2011_12,40,291
2009_10,54,782
2009_10,22,428
2009_10,8,285
2009_10,14,181
2011_12,35,314
2009_10,72,864
2011_12,59,603
2011_12,-6,-94
2009_10,7,48
2009_10,1,82
2009_10,32,597
2009_10,11,128
2011_12,-1,-42
2011_12,12,30
2011_12,44,639
2011_12,29,168
2011_12,26,252
2011_12,9,100
2011_12,27,134
2011_12,37,280
2011_12,62,541
2009_10,68,774
2011_12,47,520
2011_12,31,249
2009_10,45,590
2009_10,9,78
2011_12,22,265
2009_10,2,135
2011_12,28,258
2011_12,55,419
2009_10,63,860
2009_10,15,280
2011_12,65,632
2009_10,0,14
2009_10,56,751
2009_10,24,263
2011_12,31,244
2009_10,23,405
2009_10,29,531
2009_10,31,403
2011_12,12,139
2011_12,44,465
2009_10,20,529
2011_12,55,483
2009_10,8,130
2011_12,66,616
2009_10,-1,18
2009_10,2,20
2011_12,39,461
2009_10,-1,-12
2009_10,22,220
2011_12,14,-4
2009_10,54,682
2009_10,7,204
2011_12,87,979
2011_12,78,888
2011_12,19,177
2011_12,72,735
2009_10,71,881
2009_10,12,375
2011_12,82,802
2009_10,14,478
2009_10,51,687
2011_12,31,330
2009_10,35,480
2011_12,7,47
2011_12,43,188
2011_12,36,95
2011_12,69,776
2011_12,5,29
2009_10,18,351
2009_10,83,959
2011_12,15,285
2011_12,18,261
2009_10,24,336
2009_10,54,627
2011_12,61,576
2011_12,79,788
2009_10,7,79
2009_10,33,406
2011_12,32,431
2011_12,76,808
2009_10,6,126
2011_12,5,-25
2011_12,67,551
2009_10,10,68
2011_12,57,628
2011_12,69,700
2011_12,23,195
2011_12,73,780
2009_10,10,95
2009_10,0,-17
2011_12,13,159
2011_12,29,337
2011_12,9,65
2009_10,25,387
2011_12,81,856
2009_10,47,533
2009_10,64,762
2011_12,20,137
2011_12,37,351
2011_12,41,408
2011_12,37,360
2011_12,13,141
2009_10,64,784
2011_12,34,257
2009_10,24,241
2011_12,13,240
2011_12,25,99
2011_12,19,192
2011_12,31,227
2011_12,44,348
2009_10,5,123
2011_12,2,-6
2011_12,28,123
2009_10,71,906
2009_10,15,124
2009_10,63,714
2011_12,5,21
2011_12,6,89
2011_12,57,436
2011_12,37,495
2011_12,48,328
2011_12,3,-4
2009_10,72,890
2009_10,6,78
2011_12,30,185
2009_10,83,994
2009_10,67,647
2011_12,69,531
2011_12,23,286
2011_12,57,404
2009_10,65,682
2009_10,22,358
2009_10,41,539
2011_12,8,8
2009_10,27,431
2011_12,59,645
2009_10,13,169
2009_10,-1,11
2009_10,36,355
2009_10,50,599
2009_10,38,412
2009_10,0,87
2011_12,8,30
2009_10,20,424
2009_10,-2,-3
2009_10,46,543
2009_10,14,256
2011_12,38,422
2011_12,58,654
2009_10,80,919
2011_12,69,717
2011_12,27,111
2011_12,37,259
2011_12,78,735
2011_12,26,370
2009_10,35,631
2011_12,47,297
2011_12,45,456
2011_12,58,504
2011_12,39,410
2009_10,50,511
2011_12,56,572
2011_12,61,546
2011_12,60,500
2009_10,77,894
2009_10,22,301
2011_12,36,501
2011_12,62,793
2011_12,4,23
2011_12,56,646
2011_12,26,211
2009_10,60,773
2009_10,18,235
2009_10,77,948
2011_12,29,227
2011_12,37,477
2011_12,38,566
2011_12,38,426
2009_10,28,501
2011_12,60,636
2011_12,16,72
2011_12,28,200
2011_12,35,202
2009_10,20,329
2011_12,6,29
2011_12,29,291
2011_12,8,149
2011_12,64,605
2009_10,68,791
2009_10,10,81
2011_12,54,599
2011_12,48,502
2011_12,1,-27
2011_12,29,280
2011_12,28,292
2009_10,66,826
2009_10,0,74
2009_10,20,444
2009_10,4,117
2011_12,26,361
2011_12,50,509
2009_10,77,839
2009_10,22,223
2009_10,38,488
2011_12,3,-46
2011_12,53,602
2009_10,81,935
2011_12,6,107
2011_12,14,91
2011_12,4,-13
2009_10,29,483
2011_12,22,40
2009_10,60,666
2011_12,-1,-60
2009_10,61,869
2011_12,12,1
2009_10,11,229
2009_10,17,309
2011_12,5,10
2011_12,15,57
2011_12,42,544
2011_12,40,422
2011_12,56,611
2011_12,58,537
2011_12,45,393
2009_10,39,536
2009_10,31,361
2011_12,16,65
2011_12,11,60
2009_10,41,530
2011_12,25,52
2009_10,44,489
2011_12,20,194
2011_12,11,28
2009_10,22,269
2009_10,18,420
2009_10,32,368
2009_10,7,97
2009_10,33,279
2011_12,15,111
2011_12,21,277
2011_12,28,465
2009_10,50,694
2009_10,22,424
2011_12,37,241
2009_10,61,733
2011_12,2,5
2011_12,9,38
2011_12,2,37
2011_12,12,107
2009_10,52,545
2009_10,73,762
2009_10,29,484
2011_12,58,591
2011_12,41,552
2009_10,25,142
2011_12,5,-18
2009_10,73,828
2009_10,0,54
2009_10,57,725
2009_10,48,585
2011_12,50,569
2009_10,59,698
2009_10,49,764
2011_12,28,190
2009_10,16,86
2011_12,38,359
2011_12,8,179
2009_10,31,493
2009_10,11,174
2011_12,33,195
2009_10,6,216
2011_12,64,713
2009_10,72,853
2009_10,12,470
2011_12,20,120
2011_12,29,226
2009_10,24,494
2009_10,21,232
2011_12,46,275
2009_10,1,74
2011_12,55,348
2011_12,53,423
2009_10,2,104
2011_12,6,130
2009_10,13,168
2011_12,4,-19
2011_12,49,547
2011_12,35,182
2011_12,3,52
2009_10,82,890
2009_10,33,447
2011_12,53,420
2009_10,66,647
2009_10,0,45
2011_12,23,84
2009_10,42,355
2011_12,0,-11
2011_12,36,352
2011_12,77,891
2011_12,9,113
2009_10,20,461
2009_10,14,290
2009_10,74,777
2011_12,71,680
2009_10,62,758
2011_12,1,-6
2011_12,57,730
2011_12,30,240
2011_12,13,126
2009_10,26,396
2009_10,28,510
2011_12,3,13
2009_10,14,235
2011_12,55,334
2011_12,-5,-99
2011_12,42,390
2009_10,48,476
2011_12,-1,-32
2009_10,78,889
2011_12,63,704
2011_12,41,428
2011_12,65,591
2011_12,20,226
2009_10,28,561
2011_12,18,50
2009_10,2,4
2011_12,-5,-90
2011_12,20,63
2011_12,57,610
2011_12,46,488
2009_10,45,707
2009_10,83,987
2011_12,72,711
2009_10,62,880
2009_10,86,976
2009_10,5,238
2009_10,47,679
2009_10,62,718
2009_10,48,582
2009_10,18,525
2009_10,15,391
2011_12,38,366
2009_10,51,697
2009_10,45,611
2009_10,66,791
2011_12,41,216
2011_12,53,490
2011_12,23,164
2009_10,82,965
2009_10,20,410
2011_12,51,533
2009_10,49,703
2009_10,24,355
2009_10,78,862
2011_12,15,110
2009_10,49,725
2009_10,12,491
2011_12,45,337
2009_10,49,681
2009_10,47,559
2011_12,49,219
2011_12,7,-27
2011_12,47,559
2011_12,27,320
2009_10,65,672
2009_10,51,624
2011_12,55,461
2009_10,4,112
2011_12,77,843
2009_10,13,173
2011_12,49,530
2011_12,67,528
2009_10,56,626
2011_12,23,225
2009_10,36,510
2009_10,30,466
2009_10,8,142
2009_10,48,559
2011_12,63,467
2009_10,46,470
2009_10,79,903
2011_12,17,178
2009_10,14,241
2011_12,55,674
2011_12,65,702
2011_12,37,385
2011_12,20,247
2009_10,25,341
2011_12,84,942
2011_12,58,507
2011_12,47,584
2009_10,60,649
2011_12,34,331
2009_10,12,369
2009_10,0,23
2009_10,37,369
2011_12,19,162
2009_10,86,1031
2011_12,16,117
2011_12,15,161
2011_12,21,120
2011_12,11,83
2009_10,16,155
2011_12,15,17
2009_10,8,77
2009_10,73,838
2011_12,53,472
2011_12,11,87
2011_12,48,419
2011_12,21,145
2011_12,3,66
2009_10,74,823
2009_10,11,242
2011_12,78,625
2011_12,13,102
2011_12,22,222
2009_10,8,138
2009_10,27,447
2009_10,24,439
2009_10,64,578
2011_12,13,172
2011_12,4,41
2009_10,19,329
2011_12,43,556
2011_12,13,57
2011_12,36,268
2009_10,40,574
2011_12,44,539
2011_12,74,823
2009_10,75,915
2009_10,53,693
2011_12,31,155
2009_10,58,677
2009_10,65,740
2009_10,32,457
2009_10,4,69
2011_12,1,-13
2009_10,9,123
2009_10,47,442
2009_10,54,490
2009_10,51,502
2011_12,28,311
2011_12,13,75
2011_12,83,843
2011_12,61,576
2009_10,85,1032
2011_12,11,91
2009_10,-2,10
2011_12,7,-16
2009_10,37,482
2011_12,26,55
2011_12,2,-20
2009_10,32,555
2011_12,53,518
2011_12,28,274
2011_12,8,114
2011_12,8,18
2011_12,9,41
2011_12,82,786
2011_12,8,147
2011_12,21,167
2011_12,41,315
2011_12,68,772
2009_10,74,859
2009_10,19,277
2011_12,32,130
2011_12,30,261
2011_12,53,333
2009_10,0,53
2009_10,59,715
2009_10,24,217
2009_10,6,106
2011_12,38,267
2011_12,54,570
2009_10,31,175
2009_10,47,641
2009_10,76,789
2011_12,56,512
2009_10,41,666
2011_12,32,437
2009_10,41,548
2011_12,45,307
2009_10,42,509
2009_10,84,1015
2011_12,37,175
2009_10,52,553
2009_10,37,466
2011_12,34,294
2011_12,6,42
2011_12,36,339
2011_12,4,-19
2009_10,82,983
2011_12,62,532
2011_12,31,331
2011_12,28,205
2011_12,40,613
2011_12,15,145
2009_10,45,649
2011_12,27,105
2009_10,64,837
2011_12,1,-22
2009_10,35,491
2009_10,9,405
2009_10,30,493
2011_12,26,299
2009_10,9,110
2009_10,14,364
2009_10,63,873
2009_10,57,825
2011_12,26,198
2011_12,24,194
2011_12,61,680
2011_12,6,6
2011_12,30,249
2011_12,21,280
2009_10,13,184
2011_12,39,301
2009_10,69,919
2011_12,23,97
2011_12,15,209
2009_10,34,560
2009_10,55,646
2009_10,81,954
2009_10,18,366
2011_12,59,649
2011_12,12,222
2009_10,44,627
2011_12,61,523
2011_12,67,775
2011_12,36,329
2011_12,27,93
2009_10,53,784
2009_10,30,431
2009_10,42,507
2009_10,14,359
2011_12,9,220
2011_12,-7,-161
2009_10,29,303
2011_12,54,441
2009_10,8,47
2009_10,52,657
2009_10,49,634
2011_12,5,115
2009_10,4,49
2011_12,56,361
2009_10,62,847
2009_10,56,708
2011_12,70,688
2011_12,69,777
2011_12,1,-24
2009_10,59,780
2009_10,20,584
2011_12,36,316
2011_12,32,369
2009_10,70,900
2009_10,42,535
2011_12,43,457
2011_12,52,423
2011_12,41,152
2009_10,14,289
2009_10,62,734
2009_10,58,760
2009_10,25,657
2009_10,12,136
2009_10,33,436
2009_10,58,637
2011_12,70,648
2011_12,86,947
2011_12,28,267
2009_10,29,360
2009_10,30,471
2009_10,62,811
2009_10,23,323
2009_10,37,477
2011_12,76,790
2011_12,26,153
2011_12,58,605
2009_10,79,925
2009_10,16,397
2011_12,76,742
2009_10,71,856
2011_12,59,699
2011_12,58,577
2009_10,37,692
2009_10,28,456
2009_10,56,771
2009_10,14,189
2009_10,9,245
2011_12,5,37
2009_10,35,418
2009_10,-4,-29
2011_12,23,83
2011_12,55,552
2011_12,0,7
2009_10,5,99
2009_10,40,280
2011_12,72,814
2011_12,41,458
2009_10,14,100
2009_10,0,9
2011_12,60,515
2009_10,76,862
2011_12,30,205
2009_10,48,787
2011_12,22,90
2009_10,38,505
2011_12,29,346
2011_12,66,507
2009_10,49,748
2009_10,58,732
2011_12,76,875
2009_10,0,69
2011_12,50,488
2011_12,22,185
2009_10,63,653
2009_10,22,352
2011_12,60,558
2011_12,73,765
2011_12,22,99
2011_12,3,7
2009_10,28,273
2011_12,38,217
2011_12,32,318
2011_12,20,61
2009_10,56,664
2011_12,65,605
2011_12,67,693
2011_12,30,152
2009_10,56,887
2011_12,16,121
2009_10,63,800
2009_10,32,441
2009_10,41,445
2011_12,57,407
2011_12,30,192
2011_12,60,498
2009_10,10,69
2009_10,-7,-31
2009_10,31,264
2009_10,62,693
2009_10,65,720
2011_12,5,48
2011_12,25,200
2011_12,46,400
2011_12,47,517
2009_10,39,642
2011_12,57,515
2011_12,-2,-38
2011_12,40,391
2011_12,52,530
2011_12,41,531
2011_12,22,227
2009_10,-3,-33
2011_12,74,722
2009_10,45,627
2009_10,49,734
2009_10,61,672
2009_10,35,368
2009_10,70,846
2009_10,17,313
2009_10,72,877
2009_10,65,795
2011_12,56,536
2011_12,66,392
2011_12,59,465
2011_12,61,525
2011_12,73,746
2011_12,67,719
2011_12,45,438
2011_12,15,139
2011_12,36,371
2011_12,68,669
2011_12,42,389
2009_10,29,607
2009_10,60,691
2009_10,79,851
2011_12,1,-32
2011_12,18,193
2011_12,33,174
2011_12,25,138
2009_10,31,475
2011_12,10,384
2009_10,64,858
2009_10,49,654
2009_10,46,805
2011_12,39,454
2011_12,44,198
2011_12,46,508
2011_12,5,61
2011_12,31,291
2011_12,28,227
2011_12,47,391
2011_12,23,135
2011_12,33,332
2011_12,54,511
2011_12,18,283
2011_12,27,311
2011_12,31,228
2009_10,63,658
2011_12,-1,-16
2011_12,69,749
2011_12,62,586
2009_10,14,249
2011_12,24,92
2009_10,82,949
2011_12,69,728
2011_12,34,355
2011_12,7,44
2011_12,28,104
2009_10,16,284
2009_10,57,650
2009_10,59,830
2009_10,62,634
2009_10,78,900
2009_10,23,213
2009_10,29,451
2009_10,24,372
2011_12,49,564
2011_12,77,866
2009_10,61,778
2011_12,42,471
2011_12,46,379
2009_10,24,232
2011_12,42,130
2011_12,12,64
2009_10,39,660
2009_10,61,657
2009_10,15,318
2011_12,82,919
2009_10,33,531
2009_10,26,442
2011_12,54,527
2009_10,16,153
2009_10,6,48
2009_10,40,670
2011_12,62,506
2011_12,11,26
2009_10,0,24
2011_12,69,620
2011_12,11,73
2011_12,60,630
2009_10,41,472
2009_10,46,378
2011_12,65,463
2011_12,80,913
2011_12,85,835
2011_12,38,433
2009_10,23,444
2011_12,21,183
2009_10,55,677
2011_12,46,435
2011_12,17,42
2011_12,29,339
2009_10,57,644
2011_12,57,489
2009_10,89,1042
2009_10,70,762
2009_10,13,176
2009_10,14,177
2009_10,-5,-40
2009_10,43,625
2011_12,25,208
2011_12,75,778
2009_10,38,605
2009_10,27,375
2009_10,21,255
2011_12,15,216
2009_10,47,673
2009_10,66,839
2009_10,3,114
2011_12,40,274
2011_12,25,187
2009_10,39,508
2009_10,6,128
2009_10,61,709
2009_10,72,936
2009_10,53,567
2011_12,60,691
2011_12,27,215
2009_10,29,549
2009_10,18,293
2009_10,47,807
2009_10,10,127
2011_12,18,128
2011_12,23,263
2011_12,40,302
2011_12,77,568
2011_12,83,961
2011_12,2,17
2009_10,50,544
2011_12,54,562
2011_12,25,180
2011_12,69,769
2009_10,17,369
2011_12,14,115
2011_12,16,148
2011_12,30,305
2011_12,24,266
2011_12,23,232
2011_12,29,220
2011_12,59,564
2009_10,54,674
2011_12,57,646
2011_12,20,178
2009_10,-1,0
2011_12,78,880
2009_10,75,850
2009_10,49,494
2009_10,12,67
2011_12,29,470
2009_10,7,135
2011_12,40,163
2009_10,12,117
2009_10,44,549
2011_12,-12,-151
2011_12,34,230
2011_12,17,261
2011_12,9,-1
2009_10,54,846
2011_12,57,587
2011_12,40,314
2011_12,7,131
2011_12,27,332
2011_12,32,383
2009_10,0,9
2011_12,37,412
2011_12,20,110
2011_12,46,613
2011_12,13,38
2009_10,50,740
2009_10,75,727
2011_12,25,192
2009_10,17,229
2011_12,38,258
2009_10,26,542
2009_10,14,363
2011_12,6,32
2009_10,65,843
2009_10,69,702
2009_10,38,564
2009_10,17,136
2009_10,35,560
2011_12,40,481
2011_12,28,463
2011_12,21,263
2011_12,23,297
2011_12,87,992
2009_10,3,6
2011_12,37,270
2009_10,67,935
2011_12,68,753
2009_10,40,505
2011_12,68,784
2009_10,6,178
2009_10,11,275
2011_12,23,70
2011_12,41,376
2009_10,61,733
2011_12,15,20
2009_10,41,465
2009_10,26,495
2011_12,22,194
2011_12,22,248
2009_10,12,275
2009_10,56,694
2009_10,59,760
2011_12,28,222
2009_10,7,250
2011_12,43,564
2011_12,26,268
2009_10,35,539
2011_12,30,132
2009_10,52,644
2011_12,48,547
2009_10,59,640
2011_12,66,540
2009_10,21,375
2011_12,8,5
2009_10,82,987
2009_10,66,831
2011_12,50,598
2011_12,78,808
2009_10,0,90
2011_12,55,534
2009_10,11,137
2009_10,55,706
2011_12,49,508
2009_10,47,462
2009_10,38,536
2011_12,52,564
2011_12,87,1012
2011_12,49,544
2009_10,7,237
2011_12,4,9
2011_12,61,476
2009_10,50,663
2011_12,23,417
2011_12,7,4
2011_12,30,210
2011_12,60,456
2011_12,58,527
2011_12,41,400
2009_10,2,54
2009_10,2,43
2009_10,50,670
2011_12,47,458
2011_12,32,301
2009_10,17,389
2009_10,43,373
2009_10,49,507
2009_10,24,158
2011_12,58,531
2009_10,31,279
2009_10,25,345
2011_12,4,96
2009_10,13,144
2011_12,41,432
2009_10,29,489
2011_12,25,141
2011_12,37,344
2011_12,14,210
2011_12,52,494
2009_10,75,854
2009_10,39,684
2011_12,2,-10
2011_12,62,647
2011_12,30,185
2009_10,23,505
2009_10,52,630
2009_10,44,543
2009_10,21,422
2009_10,0,104
2009_10,9,280
2009_10,53,722
2009_10,54,589
2009_10,45,554
2009_10,-3,-28
2011_12,79,836
2009_10,4,67
2011_12,26,313
2009_10,12,235
2011_12,-2,-28
2011_12,78,821
2009_10,63,752
2011_12,57,503
2011_12,-3,-43
2009_10,31,436
2011_12,73,795
2009_10,50,640
2011_12,53,441
2009_10,26,383
2011_12,29,365
2009_10,11,142
2011_12,71,873
2011_12,46,454
2011_12,4,-11
2011_12,60,663
2009_10,29,209
2011_12,49,387
2009_10,69,871
2011_12,16,31
2009_10,75,842
2009_10,22,213
2009_10,73,796
2011_12,2,1
2011_12,23,224
2009_10,22,152
2011_12,26,253
2011_12,0,8
2009_10,76,799
2009_10,23,146
2011_12,64,749
2011_12,50,423
2009_10,40,494
2009_10,37,332
2009_10,28,451
2009_10,28,391
2009_10,40,609
2009_10,68,861
2009_10,24,311
2009_10,65,848
2011_12,24,341
2011_12,14,127
2009_10,31,538
2011_12,12,162
2009_10,22,338
2009_10,9,466
2011_12,26,236
2011_12,1,-6
2011_12,76,831
2009_10,53,635
2009_10,19,348
2011_12,64,635
2011_12,58,665
2011_12,70,653
2011_12,21,54
2011_12,31,202
2009_10,6,64
2011_12,18,171
2009_10,7,47
2009_10,51,673
2011_12,10,152
2011_12,60,575
2011_12,10,158
2011_12,47,379
2009_10,15,169
2009_10,26,391
2009_10,76,858
2009_10,42,293
2011_12,38,492
2011_12,17,121
2011_12,62,672
2011_12,24,211
2011_12,32,373
2011_12,59,556
2011_12,18,179
2011_12,26,302
2011_12,-2,-14
2011_12,75,829
2009_10,23,270
2011_12,13,180
2009_10,25,386
2009_10,46,607
2009_10,5,109
2009_10,69,871
2009_10,22,351
2011_12,12,84
2011_12,64,718
2011_12,73,797
2011_12,63,651
2011_12,57,380
2011_12,60,604
2009_10,6,83
2011_12,1,-45
2011_12,47,476
2009_10,67,782
2011_12,40,426
2011_12,42,483
2009_10,69,692
2009_10,12,191
2009_10,19,257
2011_12,-4,-34
2011_12,13,144
2011_12,35,423
2009_10,55,827
2009_10,20,311
2009_10,67,807
2009_10,80,934
2009_10,8,109
2009_10,17,454
2011_12,47,469
2011_12,-3,-57
2009_10,5,249
2009_10,38,473
2009_10,67,873
2009_10,5,120
2011_12,64,592
2011_12,48,361
2011_12,64,721
2011_12,48,433
2011_12,15,123
2011_12,9,66
2011_12,39,346
2011_12,0,-34
2011_12,29,208
2011_12,59,593
2009_10,8,180
2011_12,22,284
2009_10,27,692
2011_12,26,174
2009_10,62,667
2011_12,38,263
2011_12,62,764
2011_12,16,110
2009_10,25,362
2011_12,81,908
2011_12,81,850
2011_12,67,495
2011_12,38,481
2011_12,8,40
2011_12,23,87
2009_10,27,510
2011_12,5,0
2009_10,58,849
2011_12,9,54
2011_12,52,554
2009_10,13,95
2009_10,80,881
2009_10,4,135
2009_10,9,67
2009_10,6,60
2009_10,0,5
2011_12,20,253
2011_12,37,434
2009_10,16,261
2009_10,9,110
2011_12,71,787
2011_12,10,78
2009_10,20,410
2011_12,81,822
2011_12,19,39
2009_10,73,869
2009_10,5,82
2011_12,26,238
2009_10,4,55
2011_12,-6,-119
2009_10,52,674
2009_10,17,292
2011_12,19,145
2011_12,38,480
2009_10,16,276
2009_10,4,140
2011_12,39,366
2011_12,24,196
2011_12,52,538
2011_12,37,210
2011_12,42,564
2009_10,19,439
2011_12,20,181
2011_12,13,110
2009_10,29,310
2009_10,0,-7
2011_12,62,694
2011_12,36,317
2009_10,24,579
2009_10,65,738
2009_10,3,75
2009_10,9,295
2009_10,21,238
2009_10,67,760
2011_12,47,495
2011_12,79,814
2011_12,40,293
2011_12,79,912
2011_12,66,549
2009_10,19,253
2011_12,58,726
2009_10,42,725
2009_10,65,676
2011_12,22,330
2009_10,72,891
2011_12,25,243
2009_10,19,561
2009_10,25,266
2009_10,49,562
2011_12,64,560
2011_12,62,547
2009_10,21,517
2009_10,55,813
2011_12,66,583
2011_12,12,132
2011_12,35,379
2011_12,71,698
2009_10,46,349
2011_12,47,490
2011_12,58,724
2011_12,8,56
2009_10,33,348
2011_12,15,186
2011_12,36,345
2009_10,16,177
2009_10,1,33
2009_10,53,793
2009_10,68,786
2009_10,76,918
2011_12,2,9
2011_12,1,-53
2011_12,44,477
2009_10,-1,29
2011_12,9,25
2009_10,82,986
2011_12,45,406
2011_12,48,495
2009_10,29,563
2009_10,47,511
2011_12,20,247
2011_12,22,198
2011_12,30,281
2011_12,51,465
