SurveyYr,Age,AgeMonths
2011_12,33.0,215.0
2011_12,44.0,451.0
2011_12,13.0,211.0
2009_10,20.0,337.0
2011_12,43.0,335.0
2011_12,76.0,693.0
2011_12,44.0,314.0
2009_10,17.0,313.0
2011_12,13.0,48.0
2009_10,27.0,313.0
2009_10,8.0,277.0
2011_12,46.0,281.0
2009_10,13.0,246.0
2011_12,60.0,547.0
2009_10,59.0,752.0
2011_12,4.0,-27.0
2009_10,-1.0,-28.0
2011_12,41.0,219.0
2011_12,33.0,181.0
2009_10,16.0,247.0
2011_12,58.0,641.0
2011_12,15.0,166.0
2011_12,13.0,322.0
2009_10,49.0,756.0
2011_12,35.0,528.0
2009_10,36.0,502.0
2011_12,16.0,48.0
2011_12,9.0,40.0
2009_10,54.0,517.0
2009_10,8.0,195.0
2011_12,11.0,165.0
2009_10,60.0,727.0
2011_12,32.0,318.0
2009_10,13.0,210.0
2009_10,10.0,306.0
2011_12,40.0,346.0
2011_12,16.0,144.0
2011_12,28.0,146.0
2011_12,11.0,95.0
2011_12,7.0,12.0
2011_12,25.0,91.0
2011_12,43.0,492.0
2011_12,10.0,45.0
2011_12,81.0,799.0
2009_10,10.0,242.0
2011_12,4.0,13.0
2011_12,41.0,611.0
2009_10,57.0,641.0
2009_10,30.0,172.0
2009_10,12.0,236.0
2011_12,57.0,511.0
2011_12,25.0,239.0
2011_12,-4.0,-70.0
2009_10,59.0,782.0
2009_10,72.0,768.0
2009_10,46.0,606.0
2011_12,42.0,495.0
2011_12,33.0,392.0
2009_10,20.0,210.0
2011_12,21.0,258.0
2011_12,63.0,720.0
2011_12,8.0,74.0
2009_10,21.0,511.0
2009_10,86.0,974.0
2011_12,11.0,87.0
2009_10,-1.0,-2.0
2011_12,61.0,627.0
2011_12,67.0,674.0
2011_12,17.0,78.0
2011_12,50.0,319.0
2009_10,8.0,38.0
2011_12,10.0,73.0
2009_10,3.0,44.0
2011_12,67.0,566.0
2011_12,50.0,357.0
2009_10,26.0,436.0
2009_10,55.0,639.0
2011_12,73.0,731.0
2011_12,40.0,97.0
2011_12,39.0,207.0
2011_12,13.0,89.0
2009_10,27.0,358.0
2009_10,31.0,235.0
2009_10,38.0,461.0
2011_12,5.0,64.0
2011_12,39.0,499.0
2009_10,82.0,955.0
2011_12,83.0,751.0
2011_12,43.0,371.0
2011_12,29.0,290.0
2009_10,4.0,189.0
2011_12,22.0,336.0
2011_12,10.0,34.0
2011_12,31.0,81.0
2011_12,77.0,886.0
2011_12,83.0,885.0
2009_10,52.0,731.0
2009_10,79.0,898.0
2009_10,14.0,279.0
2011_12,67.0,648.0
2011_12,46.0,312.0
2009_10,15.0,192.0
2009_10,3.0,60.0
2011_12,24.0,242.0
2011_12,49.0,616.0
2009_10,69.0,811.0
2011_12,44.0,229.0
2009_10,64.0,746.0
2009_10,71.0,901.0
2011_12,70.0,674.0
2011_12,43.0,486.0
2009_10,29.0,353.0
2009_10,65.0,888.0
2011_12,13.0,83.0
2011_12,45.0,503.0
2011_12,44.0,178.0
2009_10,10.0,266.0
2009_10,46.0,679.0
2009_10,21.0,237.0
2009_10,52.0,734.0
2009_10,40.0,549.0
2009_10,4.0,256.0
2009_10,54.0,595.0
2011_12,63.0,702.0
2009_10,71.0,931.0
2011_12,48.0,259.0
2009_10,18.0,330.0
2011_12,49.0,558.0
2009_10,26.0,370.0
2011_12,55.0,612.0
2011_12,75.0,710.0
2009_10,58.0,782.0
2009_10,25.0,409.0
2009_10,19.0,171.0
2011_12,5.0,-26.0
2009_10,37.0,745.0
2011_12,45.0,418.0
2009_10,47.0,650.0
2009_10,38.0,479.0
2009_10,31.0,364.0
2009_10,12.0,145.0
2011_12,25.0,350.0
2011_12,44.0,532.0
2011_12,30.0,157.0
2011_12,16.0,185.0
2011_12,8.0,31.0
2011_12,48.0,454.0
2009_10,34.0,462.0
2009_10,15.0,380.0
2011_12,17.0,213.0
2011_12,61.0,587.0
2009_10,45.0,649.0
2011_12,36.0,326.0
2009_10,76.0,855.0
2011_12,14.0,280.0
2011_12,54.0,523.0
2009_10,65.0,679.0
2011_12,3.0,0.0
2011_12,45.0,463.0
2011_12,48.0,464.0
2011_12,54.0,573.0
2009_10,64.0,747.0
2011_12,70.0,829.0
2011_12,69.0,737.0
2011_12,51.0,538.0
2011_12,25.0,208.0
2009_10,-4.0,-28.0
2009_10,69.0,633.0
2009_10,27.0,434.0
2009_10,8.0,173.0
2009_10,14.0,373.0
2011_12,16.0,57.0
2009_10,45.0,647.0
2011_12,62.0,522.0
2011_12,17.0,224.0
2011_12,29.0,201.0
2009_10,67.0,768.0
2011_12,19.0,126.0
2011_12,44.0,614.0
2011_12,39.0,389.0
2011_12,54.0,492.0
2009_10,6.0,111.0
2011_12,44.0,278.0
2009_10,25.0,345.0
2011_12,26.0,225.0
2011_12,51.0,691.0
2009_10,43.0,376.0
2011_12,38.0,358.0
2011_12,5.0,1.0
2009_10,59.0,622.0
2009_10,32.0,499.0
2011_12,54.0,788.0
2011_12,75.0,789.0
2009_10,19.0,206.0
2011_12,3.0,4.0
2009_10,3.0,54.0
2009_10,5.0,68.0
2009_10,-0.0,43.0
2011_12,27.0,140.0
2009_10,79.0,925.0
2011_12,58.0,775.0
2011_12,18.0,272.0
2009_10,75.0,818.0
2011_12,34.0,399.0
2011_12,16.0,204.0
2011_12,5.0,-5.0
2011_12,8.0,22.0
2011_12,11.0,80.0
2011_12,2.0,12.0
2011_12,2.0,27.0
2011_12,51.0,656.0
2009_10,-3.0,86.0
2009_10,12.0,134.0
2009_10,13.0,63.0
2011_12,60.0,536.0
2011_12,-4.0,-75.0
2009_10,44.0,452.0
2011_12,1.0,-23.0
2009_10,24.0,173.0
2009_10,44.0,697.0
2009_10,24.0,272.0
2009_10,24.0,482.0
2011_12,9.0,142.0
2011_12,75.0,785.0
2009_10,11.0,159.0
2009_10,24.0,378.0
2011_12,10.0,115.0
2011_12,11.0,97.0
2011_12,9.0,68.0
2011_12,43.0,155.0
2009_10,-6.0,-62.0
2011_12,60.0,682.0
2011_12,49.0,487.0
2009_10,81.0,817.0
2009_10,53.0,472.0
2011_12,26.0,246.0
2011_12,20.0,117.0
2011_12,4.0,-7.0
2009_10,18.0,283.0
2011_12,60.0,657.0
2009_10,17.0,185.0
2009_10,5.0,88.0
2011_12,-3.0,-74.0
2011_12,37.0,246.0
2011_12,23.0,277.0
2011_12,3.0,14.0
2009_10,30.0,538.0
2011_12,14.0,175.0
2011_12,73.0,702.0
2011_12,40.0,435.0
2011_12,51.0,546.0
2011_12,55.0,589.0
2011_12,58.0,591.0
2011_12,53.0,573.0
2011_12,28.0,196.0
2009_10,41.0,660.0
2011_12,40.0,468.0
2011_12,-1.0,-23.0
2011_12,23.0,306.0
2009_10,-1.0,3.0
2011_12,14.0,100.0
2011_12,19.0,88.0
2011_12,56.0,385.0
2009_10,7.0,86.0
2009_10,10.0,191.0
2009_10,12.0,153.0
2011_12,48.0,431.0
2009_10,83.0,948.0
2009_10,16.0,271.0
2009_10,57.0,784.0
2011_12,63.0,537.0
2009_10,49.0,741.0
2009_10,10.0,208.0
2011_12,58.0,545.0
2011_12,49.0,459.0
2011_12,54.0,589.0
2009_10,48.0,688.0
2009_10,17.0,377.0
2009_10,45.0,572.0
2011_12,54.0,568.0
2009_10,56.0,723.0
2009_10,67.0,810.0
2011_12,36.0,351.0
2009_10,9.0,51.0
2011_12,74.0,793.0
2011_12,60.0,536.0
2009_10,6.0,234.0
2009_10,3.0,65.0
2011_12,79.0,875.0
2009_10,54.0,660.0
2009_10,26.0,568.0
2011_12,3.0,-3.0
2011_12,50.0,304.0
2011_12,41.0,414.0
2009_10,13.0,324.0
2009_10,83.0,932.0
2009_10,18.0,446.0
2011_12,6.0,67.0
2009_10,21.0,200.0
2011_12,54.0,526.0
2011_12,6.0,124.0
2011_12,57.0,396.0
2009_10,39.0,545.0
2009_10,29.0,348.0
2009_10,59.0,629.0
2011_12,66.0,528.0
2011_12,7.0,56.0
2009_10,15.0,279.0
2009_10,12.0,210.0
2011_12,-0.0,-78.0
2009_10,6.0,113.0
2011_12,7.0,99.0
2011_12,12.0,249.0
2011_12,36.0,444.0
2011_12,35.0,252.0
2009_10,66.0,742.0
2011_12,23.0,296.0
2009_10,50.0,687.0
2011_12,28.0,256.0
2011_12,76.0,734.0
2011_12,83.0,891.0
2009_10,46.0,502.0
2009_10,71.0,840.0
2009_10,47.0,592.0
2011_12,54.0,549.0
2011_12,17.0,71.0
2009_10,41.0,567.0
2009_10,8.0,100.0
2009_10,7.0,186.0
2011_12,63.0,869.0
2011_12,73.0,859.0
2009_10,47.0,563.0
2011_12,7.0,74.0
2011_12,63.0,700.0
2009_10,37.0,476.0
2011_12,71.0,741.0
2011_12,22.0,81.0
2011_12,50.0,531.0
2011_12,51.0,291.0
2011_12,61.0,512.0
2011_12,26.0,217.0
2011_12,36.0,191.0
2011_12,28.0,294.0
2011_12,59.0,584.0
2011_12,73.0,549.0
2009_10,15.0,326.0
2009_10,50.0,612.0
2011_12,55.0,609.0
2009_10,76.0,889.0
2009_10,79.0,862.0
2011_12,11.0,110.0
2011_12,13.0,135.0
2009_10,41.0,654.0
2011_12,54.0,340.0
2009_10,63.0,781.0
2009_10,30.0,540.0
2009_10,64.0,682.0
2009_10,38.0,520.0
2009_10,73.0,844.0
2011_12,12.0,140.0
2009_10,52.0,554.0
2009_10,67.0,776.0
2009_10,32.0,485.0
2011_12,12.0,115.0
2011_12,43.0,238.0
2011_12,47.0,616.0
2011_12,30.0,263.0
2011_12,48.0,420.0
2011_12,13.0,27.0
2009_10,52.0,723.0
2009_10,84.0,964.0
2009_10,57.0,666.0
2009_10,10.0,339.0
2009_10,71.0,866.0
2009_10,41.0,622.0
2011_12,15.0,40.0
2011_12,13.0,86.0
2009_10,55.0,700.0
2011_12,79.0,800.0
2011_12,17.0,199.0
2009_10,46.0,594.0
2009_10,16.0,223.0
2009_10,44.0,480.0
2009_10,40.0,348.0
2009_10,49.0,679.0
2009_10,53.0,614.0
2011_12,14.0,16.0
2009_10,43.0,433.0
2011_12,77.0,744.0
2009_10,39.0,596.0
2009_10,49.0,625.0
2011_12,5.0,15.0
2011_12,48.0,465.0
2011_12,41.0,380.0
2009_10,27.0,316.0
2011_12,23.0,85.0
2011_12,21.0,111.0
2011_12,53.0,339.0
2011_12,12.0,31.0
2009_10,22.0,534.0
2011_12,16.0,304.0
2011_12,62.0,620.0
2011_12,56.0,540.0
2011_12,76.0,850.0
2009_10,50.0,680.0
2011_12,50.0,407.0
2009_10,27.0,290.0
2009_10,19.0,312.0
2009_10,15.0,340.0
2009_10,37.0,425.0
2011_12,61.0,568.0
2011_12,17.0,157.0
2011_12,24.0,142.0
2011_12,37.0,461.0
2009_10,9.0,384.0
2009_10,19.0,284.0
2011_12,18.0,193.0
2011_12,1.0,59.0
2009_10,63.0,710.0
2009_10,10.0,130.0
2011_12,31.0,55.0
2009_10,3.0,65.0
2009_10,2.0,39.0
2011_12,23.0,182.0
2011_12,30.0,267.0
2009_10,70.0,764.0
2009_10,44.0,441.0
2011_12,58.0,499.0
2009_10,79.0,917.0
2009_10,77.0,841.0
2011_12,10.0,87.0
2009_10,15.0,166.0
2011_12,53.0,584.0
2009_10,36.0,550.0
2009_10,52.0,514.0
2011_12,15.0,43.0
2009_10,79.0,893.0
2009_10,53.0,588.0
2011_12,31.0,216.0
2009_10,18.0,446.0
2009_10,33.0,546.0
2009_10,27.0,316.0
2009_10,20.0,358.0
2011_12,-5.0,-52.0
2009_10,38.0,789.0
2011_12,66.0,785.0
2011_12,52.0,580.0
2011_12,9.0,4.0
2009_10,15.0,392.0
2011_12,23.0,220.0
2011_12,62.0,541.0
2009_10,74.0,762.0
2011_12,74.0,704.0
2011_12,36.0,299.0
2011_12,-1.0,-49.0
2009_10,15.0,299.0
2009_10,2.0,27.0
2009_10,26.0,406.0
2011_12,6.0,-21.0
2009_10,68.0,864.0
2009_10,7.0,237.0
2009_10,3.0,47.0
2009_10,64.0,580.0
2011_12,40.0,183.0
2011_12,4.0,-2.0
2009_10,48.0,564.0
2011_12,84.0,906.0
2011_12,5.0,-22.0
2011_12,44.0,396.0
2011_12,83.0,928.0
2011_12,82.0,953.0
2009_10,56.0,717.0
2009_10,39.0,534.0
2011_12,44.0,489.0
2011_12,8.0,48.0
2011_12,38.0,450.0
2011_12,15.0,113.0
2009_10,49.0,504.0
2009_10,17.0,229.0
2009_10,48.0,546.0
2009_10,77.0,945.0
2009_10,31.0,249.0
2011_12,41.0,404.0
2009_10,27.0,521.0
2011_12,57.0,420.0
2009_10,74.0,899.0
2009_10,13.0,180.0
2011_12,10.0,69.0
2011_12,50.0,230.0
2009_10,8.0,312.0
2009_10,44.0,449.0
2009_10,80.0,943.0
2009_10,57.0,824.0
2011_12,28.0,67.0
2011_12,32.0,180.0
2009_10,6.0,62.0
2011_12,48.0,492.0
2011_12,18.0,172.0
2011_12,9.0,136.0
2009_10,18.0,459.0
2009_10,-2.0,6.0
2011_12,29.0,168.0
2009_10,68.0,750.0
2009_10,1.0,62.0
2011_12,21.0,225.0
2009_10,65.0,781.0
2009_10,4.0,78.0
2011_12,62.0,650.0
2011_12,15.0,137.0
2011_12,19.0,361.0
2011_12,24.0,229.0
2011_12,38.0,502.0
2009_10,8.0,107.0
2009_10,11.0,153.0
2011_12,61.0,600.0
2011_12,2.0,-13.0
2011_12,26.0,114.0
2011_12,2.0,-40.0
2009_10,0.0,-1.0
2009_10,34.0,415.0
2011_12,36.0,366.0
2009_10,11.0,50.0
2009_10,9.0,54.0
2009_10,27.0,312.0
2011_12,36.0,286.0
2009_10,0.0,32.0
2009_10,58.0,749.0
2009_10,26.0,443.0
2011_12,48.0,475.0
2011_12,4.0,95.0
2011_12,4.0,-31.0
2011_12,12.0,74.0
2009_10,39.0,559.0
2011_12,45.0,570.0
2009_10,38.0,568.0
2011_12,36.0,477.0
2009_10,5.0,157.0
2011_12,36.0,399.0
2009_10,30.0,404.0
2011_12,13.0,120.0
2009_10,31.0,669.0
2009_10,44.0,582.0
2011_12,-0.0,-6.0
2011_12,79.0,909.0
2009_10,62.0,655.0
2011_12,62.0,841.0
2009_10,46.0,682.0
2011_12,68.0,639.0
2009_10,81.0,972.0
2009_10,27.0,367.0
2009_10,18.0,304.0
2009_10,29.0,302.0
2009_10,18.0,234.0
2011_12,14.0,224.0
2011_12,37.0,299.0
2011_12,11.0,124.0
2011_12,70.0,643.0
2009_10,75.0,904.0
2009_10,56.0,853.0
2011_12,50.0,620.0
2009_10,0.0,-25.0
2011_12,21.0,209.0
2011_12,50.0,548.0
2009_10,77.0,906.0
2009_10,71.0,843.0
2009_10,19.0,366.0
2009_10,61.0,725.0
2009_10,70.0,939.0
2011_12,31.0,134.0
2011_12,47.0,324.0
2011_12,25.0,288.0
2009_10,31.0,276.0
2009_10,10.0,248.0
2011_12,67.0,639.0
2009_10,14.0,214.0
2009_10,84.0,1000.0
2011_12,66.0,803.0
2011_12,38.0,363.0
2009_10,33.0,488.0
2009_10,14.0,366.0
2011_12,79.0,741.0
2011_12,7.0,-15.0
2009_10,48.0,655.0
2009_10,75.0,796.0
2009_10,21.0,213.0
2011_12,2.0,16.0
2009_10,51.0,618.0
2009_10,72.0,780.0
2011_12,27.0,146.0
2011_12,-0.0,-28.0
2011_12,63.0,587.0
2011_12,43.0,452.0
2009_10,2.0,15.0
2011_12,59.0,556.0
2009_10,5.0,39.0
2009_10,17.0,287.0
2011_12,21.0,252.0
2011_12,52.0,286.0
2011_12,64.0,596.0
2011_12,4.0,-3.0
2009_10,51.0,507.0
2009_10,32.0,442.0
2009_10,70.0,782.0
2011_12,5.0,-39.0
2011_12,-1.0,-42.0
2011_12,59.0,584.0
2011_12,64.0,581.0
2009_10,44.0,508.0
2009_10,64.0,767.0
2009_10,46.0,622.0
2011_12,40.0,454.0
2011_12,9.0,113.0
2009_10,-2.0,78.0
2011_12,42.0,415.0
2011_12,13.0,138.0
2011_12,5.0,28.0
2011_12,48.0,282.0
2009_10,21.0,401.0
2011_12,1.0,-3.0
2009_10,50.0,637.0
2011_12,2.0,-49.0
2011_12,54.0,398.0
2011_12,-0.0,-24.0
2011_12,49.0,344.0
2011_12,71.0,518.0
2011_12,60.0,559.0
2011_12,53.0,536.0
2009_10,71.0,825.0
2011_12,7.0,11.0
2011_12,45.0,620.0
2009_10,-2.0,1.0
2009_10,1.0,-29.0
2011_12,33.0,525.0
2009_10,37.0,512.0
2011_12,47.0,265.0
2011_12,16.0,218.0
2011_12,64.0,630.0
2011_12,46.0,553.0
2009_10,61.0,873.0
2011_12,20.0,226.0
2011_12,45.0,369.0
2011_12,13.0,144.0
2011_12,7.0,-15.0
2011_12,-3.0,-46.0
2011_12,37.0,373.0
2011_12,29.0,163.0
2011_12,55.0,532.0
2009_10,29.0,430.0
2011_12,72.0,688.0
2009_10,28.0,489.0
2009_10,77.0,888.0
2011_12,35.0,318.0
2011_12,43.0,454.0
2009_10,6.0,145.0
2011_12,60.0,718.0
2011_12,46.0,521.0
2011_12,54.0,516.0
2009_10,63.0,665.0
2011_12,9.0,156.0
2011_12,29.0,253.0
2011_12,26.0,237.0
2011_12,5.0,77.0
2009_10,34.0,468.0
2009_10,22.0,441.0
2009_10,18.0,366.0
2009_10,30.0,510.0
2009_10,10.0,158.0
2011_12,35.0,158.0
2009_10,76.0,865.0
2009_10,79.0,991.0
2009_10,67.0,761.0
2009_10,84.0,923.0
2011_12,53.0,642.0
2009_10,43.0,731.0
2009_10,10.0,126.0
2009_10,49.0,516.0
2009_10,43.0,454.0
2011_12,33.0,235.0
2009_10,41.0,712.0
2009_10,23.0,313.0
2011_12,25.0,110.0
2011_12,44.0,512.0
2011_12,45.0,562.0
2011_12,73.0,754.0
2009_10,24.0,464.0
2009_10,7.0,109.0
2009_10,74.0,980.0
2009_10,37.0,370.0
2009_10,37.0,479.0
2011_12,77.0,886.0
2011_12,15.0,29.0
2009_10,76.0,883.0
2011_12,8.0,130.0
2009_10,57.0,803.0
2009_10,7.0,402.0
2011_12,6.0,39.0
2011_12,6.0,79.0
2011_12,67.0,650.0
2009_10,63.0,792.0
2009_10,49.0,695.0
2011_12,53.0,569.0
2009_10,72.0,708.0
2009_10,22.0,446.0
2011_12,45.0,440.0
2011_12,17.0,174.0
2009_10,46.0,378.0
2009_10,57.0,646.0
2011_12,-1.0,-41.0
2009_10,41.0,740.0
2011_12,6.0,19.0
2011_12,14.0,157.0
2009_10,16.0,262.0
2011_12,11.0,87.0
2011_12,17.0,59.0
2009_10,83.0,961.0
2009_10,33.0,365.0
2009_10,44.0,561.0
2011_12,19.0,199.0
2009_10,72.0,812.0
2011_12,12.0,158.0
2009_10,53.0,645.0
2009_10,52.0,743.0
2009_10,24.0,361.0
2011_12,53.0,481.0
2009_10,29.0,510.0
2009_10,64.0,854.0
2011_12,75.0,789.0
2009_10,13.0,165.0
2009_10,18.0,167.0
2011_12,44.0,394.0
2009_10,45.0,480.0
2009_10,18.0,198.0
2009_10,80.0,935.0
2009_10,13.0,116.0
2009_10,6.0,55.0
2011_12,39.0,352.0
2009_10,21.0,230.0
2009_10,-2.0,1.0
2009_10,17.0,245.0
2009_10,-1.0,10.0
2009_10,74.0,909.0
2009_10,28.0,545.0
2011_12,64.0,754.0
2011_12,72.0,649.0
2009_10,20.0,259.0
2011_12,26.0,275.0
2009_10,23.0,355.0
2011_12,53.0,476.0
2009_10,29.0,448.0
2009_10,33.0,479.0
2011_12,4.0,73.0
2011_12,43.0,437.0
2011_12,27.0,308.0
2009_10,60.0,630.0
2011_12,53.0,578.0
2009_10,35.0,349.0
2009_10,1.0,71.0
2011_12,47.0,411.0
2011_12,44.0,113.0
2009_10,49.0,499.0
2009_10,16.0,163.0
2011_12,52.0,495.0
2011_12,27.0,286.0
2009_10,-7.0,-89.0
2011_12,80.0,894.0
2009_10,28.0,464.0
2011_12,-7.0,-101.0
2011_12,24.0,76.0
2009_10,35.0,651.0
2011_12,48.0,598.0
2009_10,76.0,951.0
2009_10,48.0,733.0
2011_12,26.0,182.0
2011_12,24.0,305.0
2009_10,50.0,659.0
2011_12,74.0,850.0
2009_10,39.0,537.0
2011_12,80.0,827.0
2009_10,79.0,869.0
2009_10,56.0,648.0
2009_10,88.0,1038.0
2011_12,50.0,580.0
2011_12,77.0,761.0
2011_12,29.0,267.0
2009_10,21.0,323.0
2009_10,36.0,445.0
2011_12,13.0,80.0
2009_10,26.0,489.0
2009_10,7.0,83.0
2011_12,46.0,558.0
2009_10,5.0,123.0
2011_12,3.0,7.0
2009_10,46.0,645.0
2011_12,59.0,674.0
2011_12,56.0,631.0
2009_10,49.0,630.0
2009_10,67.0,760.0
2011_12,18.0,270.0
2011_12,62.0,699.0
2011_12,52.0,423.0
2011_12,44.0,268.0
2011_12,12.0,15.0
2009_10,12.0,273.0
2011_12,43.0,339.0
2009_10,1.0,-5.0
2009_10,20.0,180.0
2009_10,14.0,141.0
2009_10,77.0,927.0
2009_10,13.0,297.0
2011_12,48.0,459.0
2009_10,37.0,350.0
2011_12,19.0,373.0
2011_12,66.0,658.0
2009_10,28.0,506.0
2011_12,1.0,45.0
2011_12,10.0,46.0
2011_12,6.0,-23.0
2009_10,46.0,584.0
2011_12,42.0,375.0
2009_10,40.0,423.0
2011_12,39.0,462.0
2009_10,35.0,392.0
2011_12,74.0,766.0
2009_10,37.0,422.0
2009_10,37.0,565.0
2009_10,5.0,14.0
2009_10,17.0,357.0
2009_10,-0.0,-40.0
2011_12,52.0,285.0
2011_12,55.0,613.0
2011_12,60.0,578.0
2009_10,19.0,294.0
2011_12,17.0,131.0
2009_10,56.0,711.0
2011_12,16.0,196.0
2011_12,66.0,704.0
2009_10,28.0,365.0
2011_12,55.0,589.0
2011_12,60.0,792.0
2011_12,55.0,643.0
2009_10,15.0,254.0
2011_12,50.0,516.0
2011_12,31.0,217.0
2011_12,17.0,98.0
2011_12,57.0,602.0
2011_12,47.0,525.0
2009_10,24.0,305.0
2011_12,20.0,207.0
2011_12,36.0,309.0
2011_12,69.0,671.0
2011_12,36.0,374.0
2011_12,76.0,806.0
2009_10,38.0,527.0
2009_10,28.0,404.0
2009_10,51.0,595.0
2011_12,20.0,85.0
2009_10,80.0,943.0
2011_12,73.0,804.0
2009_10,48.0,726.0
2011_12,28.0,169.0
2011_12,68.0,755.0
2011_12,12.0,47.0
2009_10,12.0,154.0
2011_12,37.0,371.0
2011_12,6.0,33.0
2011_12,17.0,52.0
2009_10,4.0,51.0
2011_12,17.0,178.0
2011_12,0.0,-32.0
2011_12,22.0,269.0
2011_12,72.0,766.0
2011_12,84.0,866.0
2011_12,38.0,176.0
2009_10,56.0,715.0
2011_12,18.0,256.0
2011_12,57.0,533.0
2011_12,3.0,-26.0
2009_10,51.0,679.0
2009_10,70.0,752.0
2011_12,15.0,104.0
2009_10,20.0,331.0
2011_12,29.0,281.0
2009_10,30.0,484.0
2009_10,10.0,363.0
2011_12,31.0,253.0
2009_10,75.0,756.0
2009_10,1.0,61.0
2009_10,36.0,382.0
2009_10,17.0,185.0
2011_12,47.0,522.0
2009_10,19.0,355.0
2009_10,9.0,122.0
2009_10,5.0,164.0
2009_10,55.0,668.0
2009_10,7.0,88.0
2011_12,9.0,99.0
2009_10,50.0,657.0
2009_10,13.0,251.0
2011_12,52.0,604.0
2009_10,56.0,638.0
2011_12,30.0,471.0
2011_12,13.0,174.0
2011_12,13.0,102.0
2009_10,25.0,400.0
2009_10,11.0,115.0
2011_12,7.0,-11.0
2011_12,51.0,505.0
2009_10,76.0,830.0
2009_10,80.0,937.0
2009_10,64.0,857.0
2009_10,81.0,941.0
2011_12,28.0,388.0
2009_10,23.0,286.0
2009_10,63.0,824.0
2011_12,68.0,612.0
2009_10,23.0,255.0
2011_12,4.0,-4.0
2009_10,39.0,492.0
2011_12,3.0,-62.0
2011_12,62.0,600.0
2011_12,85.0,960.0
2009_10,20.0,265.0
2011_12,8.0,72.0
2011_12,41.0,268.0
2011_12,80.0,806.0
2011_12,49.0,409.0
2009_10,57.0,639.0
2011_12,33.0,159.0
2009_10,14.0,218.0
